dm2    sintheta    -2ln(L)
2.85289 0.000341381 365.762
2.99535 0.000341381 366.074
3.14494 0.000341381 366.413
3.30199 0.000341381 366.754
3.46689 0.000341381 367.073
3.64003 0.000341381 367.36
3.8218 0.000341381 367.625
4.01266 0.000341381 367.891
4.21305 0.000341381 368.194
4.42344 0.000341381 368.562
4.64435 0.000341381 368.998
4.87628 0.000341381 369.455
5.11979 0.000341381 369.84
5.37547 0.000341381 370.063
5.64392 0.000341381 370.059
5.92577 0.000341381 369.797
6.22169 0.000341381 369.291
6.5324 0.000341381 368.624
6.85862 0.000341381 367.919
7.20113 0.000341381 367.264
7.56075 0.000341381 366.691
7.93832 0.000341381 366.274
8.33475 0.000341381 366.086
8.75098 0.000341381 366.183
9.188 0.000341381 366.685
9.64683 0.000341381 367.561
10.1286 0.000341381 368.453
10.6344 0.000341381 369.028
11.1655 0.000341381 369.099
11.7231 0.000341381 368.635
12.3085 0.000341381 368.034
12.9232 0.000341381 367.314
13.5685 0.000341381 366.947
14.2461 0.000341381 367.024
14.9576 0.000341381 367.393
15.7045 0.000341381 367.836
16.4888 0.000341381 368.117
17.3122 0.000341381 368.051
18.1768 0.000341381 367.739
19.0845 0.000341381 367.551
20.0376 0.000341381 367.485
21.0382 0.000341381 367.492
22.0889 0.000341381 367.633
23.1919 0.000341381 367.886
24.3501 0.000341381 367.869
25.5661 0.000341381 367.635
26.8429 0.000341381 367.52
28.1834 0.000341381 367.627
29.5908 0.000341381 367.706
31.0686 0.000341381 367.787
32.6201 0.000341381 367.628
34.2491 0.000341381 367.659
35.9595 0.000341381 367.527
37.7553 0.000341381 367.721
39.6407 0.000341381 367.781
41.6203 0.000341381 367.454
43.6988 0.000341381 367.825
45.8811 0.000341381 367.596
48.1723 0.000341381 367.625
50.578 0.000341381 367.72
53.1038 0.000341381 367.575
55.7557 0.000341381 367.718
58.5401 0.000341381 367.612
61.4635 0.000341381 367.676
64.533 0.000341381 367.624
67.7557 0.000341381 367.63
71.1393 0.000341381 367.765
74.6919 0.000341381 367.523
78.422 0.000341381 367.676
82.3383 0.000341381 367.622
86.4502 0.000341381 367.662
90.7674 0.000341381 367.64
95.3002 0.000341381 367.749
100 0.000341381 367.726
0.01 0.000356352 373.404
0.0105056 0.000356352 373.404
0.0110303 0.000356352 373.404
0.0115811 0.000356352 373.404
0.0121594 0.000356352 373.404
0.0127667 0.000356352 373.403
0.0134042 0.000356352 373.403
0.0140736 0.000356352 373.403
0.0147764 0.000356352 373.403
0.0155144 0.000356352 373.402
0.0162891 0.000356352 373.402
0.0171026 0.000356352 373.401
0.0179567 0.000356352 373.401
0.0188534 0.000356352 373.401
0.0197949 0.000356352 373.4
0.0207835 0.000356352 373.399
0.0218214 0.000356352 373.399
0.0229111 0.000356352 373.398
0.0240553 0.000356352 373.397
0.0252566 0.000356352 373.396
0.0265178 0.000356352 373.395
0.0278421 0.000356352 373.394
0.0292325 0.000356352 373.393
0.0306924 0.000356352 373.392
0.0322251 0.000356352 373.39
0.0338344 0.000356352 373.389
0.035524 0.000356352 373.387
0.0372981 0.000356352 373.385
0.0391607 0.000356352 373.383
0.0411163 0.000356352 373.38
0.0431696 0.000356352 373.378
0.0453255 0.000356352 373.375
0.047589 0.000356352 373.372
0.0499655 0.000356352 373.368
0.0524608 0.000356352 373.365
0.0550806 0.000356352 373.36
0.0578312 0.000356352 373.356
0.0607193 0.000356352 373.351
0.0637515 0.000356352 373.345
0.0669352 0.000356352 373.339
0.0702779 0.000356352 373.332
0.0737875 0.000356352 373.324
0.0774723 0.000356352 373.316
0.0813412 0.000356352 373.307
0.0854033 0.000356352 373.297
0.0896683 0.000356352 373.286
0.0941462 0.000356352 373.274
0.0988478 0.000356352 373.26
0.103784 0.000356352 373.246
0.108967 0.000356352 373.23
0.114409 0.000356352 373.212
0.120122 0.000356352 373.192
0.126121 0.000356352 373.171
0.132419 0.000356352 373.147
0.139032 0.000356352 373.121
0.145975 0.000356352 373.093
0.153265 0.000356352 373.062
0.160919 0.000356352 373.028
0.168955 0.000356352 372.99
0.177392 0.000356352 372.949
0.186251 0.000356352 372.905
0.195552 0.000356352 372.856
0.205318 0.000356352 372.802
0.215571 0.000356352 372.744
0.226337 0.000356352 372.68
0.23764 0.000356352 372.611
0.249507 0.000356352 372.535
0.261967 0.000356352 372.453
0.27505 0.000356352 372.364
0.288785 0.000356352 372.268
0.303207 0.000356352 372.164
0.318349 0.000356352 372.052
0.334247 0.000356352 371.931
0.350939 0.000356352 371.802
0.368464 0.000356352 371.663
0.386865 0.000356352 371.516
0.406185 0.000356352 371.358
0.426469 0.000356352 371.192
0.447766 0.000356352 371.016
0.470127 0.000356352 370.832
0.493605 0.000356352 370.639
0.518255 0.000356352 370.439
0.544136 0.000356352 370.233
0.57131 0.000356352 370.022
0.59984 0.000356352 369.807
0.629796 0.000356352 369.59
0.661247 0.000356352 369.375
0.694269 0.000356352 369.161
0.72894 0.000356352 368.954
0.765342 0.000356352 368.754
0.803563 0.000356352 368.564
0.843692 0.000356352 368.386
0.885825 0.000356352 368.222
0.930062 0.000356352 368.072
0.976508 0.000356352 367.937
1.02527 0.000356352 367.816
1.07647 0.000356352 367.706
1.13023 0.000356352 367.603
1.18668 0.000356352 367.502
1.24594 0.000356352 367.396
1.30816 0.000356352 367.278
1.37349 0.000356352 367.143
1.44208 0.000356352 366.982
1.51409 0.000356352 366.792
1.5897 0.000356352 366.572
1.66909 0.000356352 366.324
1.75244 0.000356352 366.057
1.83996 0.000356352 365.781
1.93184 0.000356352 365.514
2.02832 0.000356352 365.273
2.12961 0.000356352 365.079
2.23596 0.000356352 364.948
2.34762 0.000356352 364.894
2.46486 0.000356352 364.923
2.58795 0.000356352 365.036
2.71719 0.000356352 365.23
2.85289 0.000356352 365.495
2.99535 0.000356352 365.813
3.14494 0.000356352 366.16
3.30199 0.000356352 366.509
3.46689 0.000356352 366.836
3.64003 0.000356352 367.132
3.8218 0.000356352 367.404
4.01266 0.000356352 367.68
4.21305 0.000356352 367.993
4.42344 0.000356352 368.376
4.64435 0.000356352 368.829
4.87628 0.000356352 369.304
5.11979 0.000356352 369.704
5.37547 0.000356352 369.936
5.64392 0.000356352 369.931
5.92577 0.000356352 369.658
6.22169 0.000356352 369.133
6.5324 0.000356352 368.445
6.85862 0.000356352 367.721
7.20113 0.000356352 367.051
7.56075 0.000356352 366.465
7.93832 0.000356352 366.034
8.33475 0.000356352 365.834
8.75098 0.000356352 365.926
9.188 0.000356352 366.436
9.64683 0.000356352 367.338
10.1286 0.000356352 368.26
10.6344 0.000356352 368.856
11.1655 0.000356352 368.929
11.7231 0.000356352 368.45
12.3085 0.000356352 367.833
12.9232 0.000356352 367.093
13.5685 0.000356352 366.715
14.2461 0.000356352 366.792
14.9576 0.000356352 367.167
15.7045 0.000356352 367.622
16.4888 0.000356352 367.914
17.3122 0.000356352 367.847
18.1768 0.000356352 367.524
19.0845 0.000356352 367.33
20.0376 0.000356352 367.263
21.0382 0.000356352 367.27
22.0889 0.000356352 367.415
23.1919 0.000356352 367.675
24.3501 0.000356352 367.658
25.5661 0.000356352 367.418
26.8429 0.000356352 367.298
28.1834 0.000356352 367.408
29.5908 0.000356352 367.49
31.0686 0.000356352 367.572
